id,progeny,family,GDDTA_summer,GDDTS_summer,PH_summer,EH_summer,TLN_summer,GDDTA_winter,GDDTS_winter,PH_winter,EH_winter,TLN_winter
146,05CL_2862,B97xCML254,1006.599901,1055.317238,171.24417,90.9153153,24.5581958,920.9079959,931.5054015,128.5903328,66.90591439,19.31795081
147,05CL_2864,B97xCML254,943.0598182,994.4320806,159.7953039,75.57240623,20.9590121,882.1477121,907.4141007,122.6348905,49.14551974,17.44037621
148,05CL_2866,B97xCML254,984.3340497,1036.455945,158.0376312,80.95421367,21.31772653,891.9447845,900.9091611,142.782886,73.44844281,18.97266677
149,05CL_2867,B97xCML254,1094.20625,1138.114052,176.0929964,94.37636424,21.83286341,915.1715715,934.0185567,137.7925712,74.18559029,18.21502437
150,05CL_2868,B97xCML254,934.0112338,1010.598341,162.2551421,78.0884364,20.99190861,891.1207706,929.2271492,141.0889997,66.20788409,17.92772947
151,05CL_2869,B97xCML254,1078.858354,1158.476646,175.2600841,90.48762293,21.89088454,945.745791,964.4294167,128.3738384,63.76841624,18.01851398
152,05CL_2871,B97xCML254,1044.648705,1060.12398,161.7667027,90.99569806,22.31489938,896.2794815,888.7602921,134.7476053,73.92149876,18.20291378
153,05CL_2872,B97xCML254,1011.6146,1034.356258,169.9080594,81.6925374,23.50453046,898.0988141,913.4275518,125.4465482,58.984258,18.72674439
154,05CL_2873,B97xCML254,915.4690434,953.0878786,145.3292458,68.94756438,18.69276185,859.8635455,873.8156212,122.6516809,49.9130366,15.21632694
155,05CL_2874,B97xCML254,1044.802132,1084.855748,188.3803348,103.2605755,24.05616101,922.3080915,918.149542,133.0842909,65.80577741,18.43533326
156,05CL_2875,B97xCML254,911.0572704,963.5936197,117.4496852,52.72881522,18.18872352,878.4592937,895.5463491,94.76291855,37.87429679,15.12709858
157,05CL_2876,B97xCML254,924.9098851,994.8371955,172.241482,83.8355698,21.74134747,868.318647,902.8048557,135.59929,58.28248175,16.96863322
158,05CL_2877,B97xCML254,947.1264951,1017.197791,145.9455535,84.43553255,21.45317401,874.0499882,915.4554233,120.2731572,61.51338235,17.7581865
159,05CL_2878,B97xCML254,964.6335099,1015.096685,159.8752348,86.62604164,23.2541164,903.6014912,931.9985384,120.4476033,59.03311102,18.2479364
160,05CL_2879,B97xCML254,1025.488305,1093.30082,154.9346851,82.32195924,21.80950938,945.3976118,971.3283217,119.9259996,55.51429914,17.70451059
161,05CL_2880,B97xCML254,973.5185127,1042.965884,148.1627773,76.02342566,22.02075302,898.3583776,917.1622976,118.2649034,55.3047523,17.50229213
162,05CL_2881,B97xCML254,973.0689174,1032.659239,153.7076494,74.36015987,20.93091415,911.4620693,935.0190693,131.0217158,56.08306843,17.25194119
163,05CL_2882,B97xCML254,984.5028186,1011.199633,179.6606891,91.77048555,22.27240544,906.4912778,904.6769279,133.685753,56.20635151,17.75871948
164,05CL_2883,B97xCML254,946.9057025,994.1764054,163.8816778,77.52900755,22.14250729,879.5359465,890.3641946,127.0125266,58.82502237,18.54812654
165,05CL_2884,B97xCML254,985.9075091,1047.493587,178.4108717,95.26330475,22.05791849,890.6760041,916.7063207,143.1208644,66.41998746,17.96718291
166,05CL_2885,B97xCML254,927.4684066,1010.802535,178.5554394,97.0810613,21.53833729,858.7178393,906.5405158,125.8207053,58.68571028,16.95788651
167,05CL_2886,B97xCML254,954.1538539,980.247758,184.9300532,91.35642936,21.43289252,865.9711003,879.1810998,132.8779128,59.13440803,17.21251451
168,05CL_2887,B97xCML254,941.4672517,1001.428972,160.9617283,80.27228122,21.11007444,886.2741511,912.3594072,128.5110421,59.40050457,17.88610283
169,05CL_2888,B97xCML254,1033.297582,1061.849649,194.0249893,108.3592893,23.10302204,902.0645726,912.6679681,137.819473,78.00995801,17.8429393
170,05CL_2890,B97xCML254,1024.425262,1097.369728,178.6462843,89.51457098,22.44447771,898.0511294,919.9382225,124.7985517,54.45541015,17.78488611
171,05CL_2892,B97xCML254,958.4320436,1030.441448,170.7413012,67.80237084,20.85306725,877.4465583,908.6053774,119.5244054,42.71750871,16.64975496
172,05CL_2893,B97xCML254,1014.775679,1058.036626,183.6438645,87.51277671,21.7927906,901.4974644,918.7787449,135.1647418,56.3235728,17.01329544
173,05CL_2894,B97xCML254,972.8802783,991.0661166,125.8178952,67.74062664,19.66920754,861.2494059,858.1986578,108.7214869,50.18383305,17.16163739
174,05CL_2895,B97xCML254,970.4817303,998.2250017,164.760477,91.96745859,22.01419193,891.4859119,911.3675126,125.8746697,59.93225968,17.68369994
175,05CL_2896,B97xCML254,1133.082823,1160.491639,171.0654409,87.9730407,24.4253936,934.0078305,922.3627659,122.9623641,51.83291187,18.31648817
176,05CL_2897,B97xCML254,881.9445728,934.7826578,160.7581558,69.13590244,19.88728168,830.7950562,845.8847215,126.9776747,48.86117562,15.73200216
177,05CL_2898,B97xCML254,930.3345,NA,161.0353896,85.20652438,20.01082154,895.2474772,930.8854546,117.7419687,51.96539679,16.17264033
178,05CL_2899,B97xCML254,920.3603664,982.8035929,125.1403709,51.87334152,19.82141322,859.0799723,880.813434,111.6116854,44.1401349,16.81552568
179,05CL_2900,B97xCML254,1044.540052,1101.352185,161.5267103,84.70643554,23.35192398,882.4756485,905.9179162,137.0465329,67.24510594,19.16194497
180,05CL_2901,B97xCML254,991.09335,1034.009577,144.6110474,79.37403161,22.75066429,906.6920056,943.9783496,124.1583646,62.85911918,18.64262344
181,05CL_2902,B97xCML254,1026.844443,1042.791847,179.9196377,98.16541938,23.93308323,914.4393975,911.3831719,130.9576009,71.51444734,19.44391808
182,05CL_2903,B97xCML254,1136.972934,1179.534679,175.2719962,100.6955077,24.84807929,947.8484796,957.0925489,123.8507385,59.63345979,18.92192076
183,05CL_2904,B97xCML254,996.5806507,1028.521136,159.1224386,85.75754808,22.34471818,908.245142,916.8553749,129.4999427,62.94571978,18.37797013
184,05CL_2905,B97xCML254,977.8114117,1037.90718,148.9228502,73.77223092,21.89673228,876.4461219,902.488529,113.8174021,47.646351,17.87512633
185,05CL_2906,B97xCML254,1039.826613,1110.429549,176.4003075,91.3190257,23.65828567,924.8618684,940.5313602,118.4615007,58.12500573,19.43105901
186,05CL_2908,B97xCML254,1116.219622,1196.301089,133.5020233,68.11542361,22.69979528,913.0619958,916.5907995,113.8632825,49.01448669,17.56841711
187,05CL_2909,B97xCML254,1043.901946,1098.475941,141.6125537,69.05920752,23.49559402,921.9944894,948.1588264,117.3485914,51.68459888,18.9460239
188,05CL_2910,B97xCML254,879.7590108,955.7421824,152.6427551,69.44365618,20.10968123,867.0972344,910.9528395,132.1807585,54.39175066,16.43607213
189,05CL_2911,B97xCML254,946.8662781,976.2576585,157.551909,95.97438636,22.74662461,917.5961977,927.4519915,128.7480084,64.69797958,18.39962468
190,05CL_2912,B97xCML254,1094.905379,1129.998684,163.0010853,84.91572093,24.94560237,938.1566309,951.181592,128.4432453,63.7270159,19.98187084
191,05CL_2913,B97xCML254,907.3384102,958.8942839,141.8300485,72.0859773,20.03193331,851.9805492,860.6791854,111.284627,43.11583427,15.70582928
192,05CL_2914,B97xCML254,992.8406512,1049.584164,193.3140093,101.1320493,23.94806601,899.5970945,913.4309082,148.5492862,79.33386482,19.08953522
193,05CL_2915,B97xCML254,915.9645855,990.9755731,173.3806956,79.13510151,21.33621953,855.6033882,915.5777382,135.1559337,58.34583879,17.74213599
194,05CL_2916,B97xCML254,997.8167938,1024.024486,150.3453118,76.45647811,22.99693715,917.0429892,920.5576006,113.5265535,52.8587039,17.68113555
195,05CL_2918,B97xCML254,1020.767633,1056.760079,158.6391002,74.58595634,21.77734438,931.4316637,934.3558501,125.1357826,57.07088369,17.67745248
196,05CL_2919,B97xCML254,1011.645981,1052.225222,170.7510078,90.81909605,23.58425038,949.2594888,969.7229555,135.786052,64.73889998,19.28117644
197,05CL_2920,B97xCML254,1017.598518,1056.148186,152.9404489,81.37329911,23.12993408,952.529022,972.8070336,115.958258,46.28899322,18.864619
198,05CL_2921,B97xCML254,1046.066058,1090.558934,158.3225413,65.68966919,21.21549856,940.7732197,967.8908877,125.7659663,51.91068597,17.12706815
199,05CL_2922,B97xCML254,1052.778505,1113.469295,154.6072577,78.6625979,23.7965699,948.7021579,971.9307808,117.4236432,56.13517869,19.81429656
200,05CL_2923,B97xCML254,1089.776659,1102.029154,181.2610318,97.36993343,24.1210469,919.0387565,926.9598063,133.6739444,68.35769153,18.40914416
201,05CL_2924,B97xCML254,955.5368212,1003.734236,188.5804197,90.99675695,22.06264424,877.2203772,898.134024,147.149425,69.46778291,18.81555958
202,05CL_2925,B97xCML254,1032.751644,1073.498838,179.0176959,90.55014162,23.11508812,902.8726817,919.6658291,126.4917817,50.35440789,17.98393719
203,05CL_2926,B97xCML254,938.4051921,993.978782,149.4049544,67.14662435,20.37568597,899.7582038,920.2778501,110.8560732,46.89570142,17.68174348
204,05CL_2927,B97xCML254,962.5283854,1045.969959,155.7396307,77.38027708,22.95454824,881.7763753,919.8764093,131.828988,58.71774289,18.3629898
205,05CL_2928,B97xCML254,969.9783594,995.1129889,98.37875013,47.76567154,NA,898.9030342,917.1218026,126.5836911,58.78864738,17.94839967
206,05CL_2929,B97xCML254,1055.862676,1100.846373,172.4664856,96.85452044,23.67473677,888.7894041,892.4419124,137.1431626,75.79295974,19.30295322
207,05CL_2931,B97xCML254,1002.402451,1053.743738,167.9579859,88.97513288,21.65866471,897.3738273,927.0503921,132.8754047,64.06967616,18.18632742
208,05CL_2932,B97xCML254,1003.948175,1055.78246,149.0048834,78.53877637,23.38170603,923.5190674,928.1722021,128.0883016,65.77508328,18.94506197
209,05CL_2933,B97xCML254,970.5237304,1015.88698,184.2378519,93.08082481,22.92971569,897.8507706,919.8758983,131.5757177,65.34690536,19.00113271
