id,progeny,family,Mons_DMY,Einbeck_DMY,Wadersloh_DMY,Roggenstein_DMY,Mons_DMC,Einbeck_DMC,Wadersloh_DMC,Roggenstein_DMC,Mons_PH,Einbeck_PH,Wadersloh_PH,Roggenstein_PH,Mons_DtTAS,Einbeck_DtTAS,Wadersloh_DtTAS,Roggenstein_DtTAS,Mons_DtSILK,Einbeck_DtSILK,Wadersloh_DtSILK,Roggenstein_DtSILK,Mons_NBPL,Einbeck_NBPL,Wadersloh_NBPL,Roggenstein_NBPL
654,CFD10-306,CFD10,158.7625747,216.637751,158.6351748,183.1655963,46.93774825,30.36008918,33.85333826,36.26155083,232.5341806,288.8004247,271.2014098,310.3866181,84.51288431,84.37652486,73.75660211,85.07696163,84.12658622,83.51049311,76.2150575,85.5779878,80.00615163,94.92023885,76.83070807,83.53930381
655,CFD10-307,CFD10,184.6446346,195.2500015,139.4428227,199.3810335,44.82610698,30.24239073,34.62431187,34.70834503,231.5019673,286.9464549,291.7138756,308.1812857,82.68191694,82.41477063,73.4747347,81.75851393,82.80353696,79.01274724,75.91865314,81.13420378,77.37629766,92.21798425,77.41194481,79.35316498
656,CFD10-308,CFD10,191.8292152,206.7377528,145.8954089,183.1545065,45.73299615,32.25915111,32.95739186,33.81985683,231.6140859,289.5137308,273.9780616,300.6810855,84.82705614,84.58302396,74.17751744,84.63742512,84.5006573,83.72352386,77.18014679,83.72764494,79.7491892,92.75592762,73.40935451,80.71789992
657,CFD10-309,CFD10,167.5128516,203.562244,151.4217717,199.3921996,42.83360799,30.22698011,35.27583551,36.16940774,242.4969868,306.2915363,271.9023124,307.7749013,83.17391518,83.36799958,74.05637772,83.42437201,83.12141598,80.4484903,74.75515722,83.21799475,75.58090462,89.73382494,69.27632663,85.72880212
658,CFD10-310,CFD10,160.9869178,214.5622429,156.4428227,204.6400258,41.30237935,29.44776081,30.82431187,35.11032347,235.1286036,306.0182873,286.7138756,325.1930602,85.93852806,87.1514063,73.4747347,85.17547483,86.34322973,85.2492387,79.91865314,84.71372707,77.4037408,92.11859903,73.41194481,76.91731425
659,CFD10-311,CFD10,163.0152006,195.962246,142.8199307,184.0824091,47.2887763,32.24589929,37.89650774,38.16953318,227.1701277,288.8922914,271.2452413,304.2447736,83.4092611,83.28701268,71.95981476,82.79023344,83.3544425,83.36163998,72.03195294,84.62685482,77.93724217,87.12365806,69.56383406,81.09214176
660,CFD10-312,CFD10,159.9700806,196.6622378,141.3882373,180.8693108,45.04819115,33.31201004,34.87493476,36.85183683,239.4483743,300.1211547,288.9989599,305.7942266,84.39123846,85.15431894,73.73830845,83.65749841,84.66476207,85.21815924,79.17262514,86.29860694,63.17621147,80.48217587,59.57540585,62.6746445
661,CFD10-313,CFD10,175.0557083,202.1377535,157.5514835,155.6852509,40.89721128,30.24516876,31.62410676,31.10779823,239.807616,290.9984546,282.6299981,307.8406701,86.56496378,86.75074417,NA,89.54166835,86.57542964,86.73775644,80.79600681,89.79650516,77.83485491,83.87632325,70.53813305,86.12730474
662,CFD10-314,CFD10,175.0163462,224.7377576,149.4238532,187.7028011,44.35377791,30.75928789,33.14714597,35.65236751,235.58651,281.2261908,279.5618999,294.8199534,85.41953292,84.40844292,73.97315243,81.72723736,85.27826822,84.58833865,79.84635166,84.79655651,80.09432541,95.28466574,71.1241959,79.6448991
663,CFD10-315,CFD10,182.638114,257.9377571,162.6351748,204.8545065,43.2705705,32.0303367,35.95333826,35.11985683,248.1030102,306.556087,306.2014098,325.6810855,85.39873477,87.68419919,73.75660211,84.63742512,85.14953437,85.80492869,79.2150575,90.72764494,75.08527163,78.92511941,55.83070807,69.71789992
664,CFD10-316,CFD10,187.6105161,221.2377551,157.1777742,215.8109523,40.73901196,29.02068316,31.68854738,35.45716081,255.3619221,306.5763308,309.0227618,316.8094767,85.12088835,85.6496779,73.84336087,85.54777475,84.32913446,85.60920053,84.04684449,86.20025426,73.29095634,83.8634757,67.71055732,80.23698651
665,CFD10-317,CFD10,180.8206755,219.1000056,166.0606636,233.2080612,42.2927986,31.84087731,32.42259222,37.18120138,237.2077538,306.2050505,298.7172084,328.2014711,84.80175124,86.37333319,74.04388741,86.12343752,84.56733479,85.93276607,79.20100539,85.76056919,80.19458749,89.44026864,75.50610386,75.54584727
666,CFD10-318,CFD10,166.2976387,214.8377528,169.8509782,224.0456305,42.96900439,28.85915111,33.39078328,33.97252773,254.1594003,309.5137308,301.8604703,320.8456357,82.6080905,84.58302396,73.8865121,81.29274183,83.07048389,83.72352386,79.04566416,84.41202898,80.08600566,96.75592762,73.49729753,77.68271079
667,CFD10-320,CFD10,171.5001924,221.0377544,164.0224815,235.2834267,42.50749369,31.10417498,34.92258376,38.44017802,244.6172265,301.0812246,292.8678969,323.2389044,88.5744196,84.47805382,73.89513581,87.02945225,87.56742539,84.60467903,79.19450127,89.3205809,77.17782766,93.90970864,73.47164156,88.56371359
668,CFD10-322,CFD10,186.4158261,209.4622471,161.9807851,185.4917254,43.03816981,31.39259078,32.28679068,30.08627219,238.9726205,302.066841,289.4157274,323.4300613,84.74609968,87.40061758,73.66618115,84.26373982,85.03952191,85.19430319,79.86314583,82.13989712,73.63866255,83.53953488,67.41239065,66.15847328
669,CFD10-323,CFD10,166.0163462,224.6377517,156.9030313,210.2956469,43.25377791,32.93503937,33.2211935,39.5045341,227.58651,290.7284777,274.023619,302.9118301,84.41953292,82.51399886,74.14060745,85.55155874,84.27826822,80.59761261,78.59537534,82.66378945,80.09432541,91.87263696,75.53292154,76.92253656
670,CFD10-324,CFD10,163.7598845,204.9377607,147.060236,172.8150917,39.31574671,32.70741492,33.80256692,31.38655858,234.2834493,280.7795067,280.6134536,312.0585707,87.77538306,84.57159356,74.04317771,91.76885036,87.2802683,84.59099743,78.51852677,85.57549627,NA,75.95689785,63.3082816,68.82216755
671,CFD10-325,CFD10,164.5492794,213.5622479,164.0200053,211.3673253,39.80323805,30.7440706,31.40131988,34.52623576,229.4691864,297.2731784,290.6361379,315.8608389,87.24485857,85.13875993,NA,87.63191969,87.7575864,86.20544882,81.58382344,89.14915971,78.0722431,77.42575532,70.2233212,69.50965584
672,CFD10-326,CFD10,163.762498,223.2999987,160.9156568,224.6047127,39.48445598,29.70771835,29.9349041,32.10767335,248.0240876,301.0463021,289.1306401,310.3410207,87.08042133,85.87515578,74.0749286,91.79084104,88.41356549,86.959306,82.23924326,89.34663788,76.54662976,94.04291796,64.37747557,80.20376547
673,CFD10-327,CFD10,193.0830929,235.6377571,160.7664848,253.165681,39.84856057,32.7625068,33.77929225,38.90653218,260.1009473,306.999279,294.6854674,350.67661,85.68738799,86.46925307,NA,86.10287884,85.50251002,86.62503496,79.78601924,88.37419371,77.91665333,92.1805662,66.82556941,73.73672237
674,CFD10-329,CFD10,187.5411956,221.4999996,160.2854423,193.93619,42.57687,29.54849816,33.00278604,32.48601927,242.2227877,304.1482716,280.6180466,303.8790941,84.90703419,83.92723301,73.83771818,82.94612091,85.09717934,84.00114872,79.23028314,85.5610769,79.94838776,96.13987068,73.43298276,79.60009384
675,CFD10-330,CFD10,191.3375226,217.1377567,193.4261495,167.6643735,41.05010361,30.84961602,34.92010845,34.05322828,249.1668519,310.2560257,319.0569556,305.036168,87.17113131,88.57640234,73.88110931,87.02411594,86.2454912,86.70191396,77.90982289,90.18616385,78.64148202,84.73707989,67.49651383,84.02705709
676,CFD10-331,CFD10,180.7803381,209.3622419,123.2200053,210.7184272,43.41128749,28.71407603,34.80131988,37.25639485,248.0786035,297.1208353,290.6361379,301.0532631,83.2009537,80.59532025,74.03472517,83.74299153,81.30941747,80.43595583,77.58382344,85.25415275,76.76287698,94.02643286,74.2233212,84.64221551
677,CFD11-002,CFD11,200.1766322,230.4377603,151.3799106,216.0834267,42.55335842,28.73765995,30.90555661,35.84017802,242.4497445,300.0085288,288.4545213,303.2389044,84.62284929,84.82435919,74.06384037,81.02945225,84.57575799,82.72340225,77.7372213,86.3205809,79.92923542,91.52443008,65.09853042,82.56371359
678,CFD11-004,CFD11,197.2453368,235.2622426,168.5863776,198.1000212,41.91338979,30.00256059,34.7603896,37.69725488,240.0621185,300.7258009,290.6319925,307.8454141,84.14870477,83.34128152,73.97495903,81.90025041,83.61301044,79.27970194,74.49671561,84.90663627,78.49294771,96.01531447,68.63540976,82.51835525
679,CFD11-005,CFD11,240.7768238,231.3622504,169.730102,217.0490871,42.03059008,27.9483895,31.62127627,33.36304308,259.235328,303.7377951,309.5537238,333.1804647,85.38007312,84.54702572,74.2572606,86.58547868,85.21613569,85.33458157,78.48826178,87.60966117,80.03369313,97.86774171,73.20984296,81.80228771
680,CFD11-006,CFD11,192.2582398,217.5999979,142.2224068,214.4780855,44.61418607,29.62839309,32.55304273,33.27388028,242.2409688,299.2284093,280.3343502,320.304613,83.04769908,83.02218578,73.89868883,84.92281381,83.03492329,83.01552757,77.58305753,85.68671458,79.93431798,85.0420639,63.26122195,84.59653083
