id,progeny,DFF2013,DM2013,HT2013,BIO2013,YLKGHA2013,HI2013,x100SDWT2013,DFF2014,DM2014,PHAVG2014,BIO2014,YLKGHA2014,x100SDWT2014,HI2014
957,ICCML11007,54.1762619,103.2349777,46.04013824,328.9411926,1655.389771,0.449326247,31.04439354,54.91618729,95.99999237,40.78617477,365.2099915,1487.155029,28.32514191,0.488013178
958,ICCML11008,41.07181168,93.29561615,38.27191925,246.1539154,2144.230225,0.782628477,20.72354698,49.07710648,87,33.66573715,364.7657166,1784.952271,19.00155067,0.586881697
959,ICCML11009,50.50502396,99.26475525,33.06940842,312.1817322,1522.069824,0.44326219,20.88142776,55.07710648,93,33.66573715,329.7657166,1207.599976,18.32212257,0.439116269
960,ICCML11010,52.1240387,97.02274323,53.17036057,236.0000458,1177.660156,0.449070513,26.58810425,50.88936996,90.00000763,39.02003479,381.83255,1411.935303,21.55493736,0.440835059
961,ICCML11011,48.96735764,89.90145874,33.03953552,244.9286041,1333.199951,0.487893999,18.22611618,49.75527191,81,23.75986481,299.7890625,1378.28186,19.26986694,0.553167939
962,ICCML11012,47.96735764,92.90145874,35.70620346,244.235321,1722.050049,0.632589161,17.26611519,50.75527191,81,40.75986481,279.7890625,1152.455444,16.49267197,0.495741785
963,ICCML11013,50.1240387,99.02274323,42.8370285,333.3334045,2210.889893,0.596917987,19.04810333,51.96982956,89,34.55640793,300.5519409,1745.217896,19.29375458,0.69496727
964,ICCML11014,54.38516617,99.87113953,48.85196304,371.2498474,2244.220215,0.55324012,31.29503632,53.13074493,91.99998474,42.2703476,220.3100433,735.4557495,29.02467155,0.402070493
965,ICCML11015,46.07181168,97.29561615,33.60525131,248.666748,1466.520264,0.52939707,19.27354813,51.07710648,90,34.66573715,439.7657166,1854.174561,19.65845299,0.505699575
966,ICCML11016,48.96735764,92.90145874,38.3728714,265.4118042,1399.859985,0.472689271,19.13611603,51.75527191,86,35.75986481,459.7890625,1944.555176,17.92471886,0.509112835
967,ICCML11018,38.50502396,97.26475525,36.06940842,331.8259888,2110.899658,0.577004433,23.31142807,50.13074493,89.99998474,37.2703476,520.3100586,2362.554688,21.65182304,0.546175361
968,ICCML11019,35.1240387,90.02274323,40.8370285,340.000061,2010.910156,0.532270908,26.18810272,50.88936996,83.00000763,39.02003479,146.83255,1146.541504,23.60933876,0.944023788
969,ICCML11020,47.07181168,90.29561615,37.93858337,248.0000763,1888.700195,0.684049845,20.89354706,49.13074493,81.99998474,32.2703476,310.3100586,1495.318481,21.05500603,0.579816759
970,ICCML11021,39.96735764,95.90145874,43.70620346,239.0833588,1366.530029,0.512420237,26.86611557,49.13074493,78.99998474,50.93701172,260.3100586,1157.453613,19.42835045,0.535175323
971,ICCML11022,51.1240387,96.02274323,34.17036057,290.5715027,1888.700073,0.584972084,16.68810272,49.96982956,81,28.8897419,320.5519409,1859.921997,15.45932579,0.6943506
972,ICCML11023,44.1240387,90.02274323,32.8370285,209.4444885,1355.420166,0.582411349,23.21810341,50.10392761,86.00000763,39.66615677,381.2374573,1558.876465,23.73931313,0.489988804
973,ICCML11024,38.7507515,89.32593536,38.02490234,166.9090881,844.3600464,0.45536676,17.69757271,47.75527191,80,39.09319687,344.7890625,1431.927002,19.02372169,0.499895483
974,ICCML11025,48.07181168,96.29561615,40.93858337,243.6923828,1788.710205,0.659235179,26.74354744,50.15756607,83.00000763,39.60860825,466.3032532,1811.691406,27.42721176,0.472756475
975,ICCML11026,47.38516617,94.87113953,39.1852951,201.8821869,1088.780151,0.494563639,26.37503624,53.10392761,85.00000763,40.99948883,246.237442,773.6906128,20.81555557,0.376617163
976,ICCML11027,54.1240387,101.0227432,43.50369644,298.4211121,1399.860107,0.422140211,17.02810287,52.15756607,95.00000763,37.94194412,446.3032532,1767.792358,16.52670479,0.481611788
977,ICCML11028,52.1762619,98.23497772,41.70680237,252.307724,1599.839722,0.567089379,27.95439339,49.75527191,84,36.75986481,299.7890625,1402.522095,28.24710655,0.562867939
