id,progeny,PH2015,PH2016,Phmean
536,WM-800_561,102,87,94.5
537,WM-800_562,98,82,90
538,WM-800_563,95,60,77.5
539,WM-800_564,94,71,82.5
540,WM-800_565,88,82,85
541,WM-800_566,94,82,88
542,WM-800_567,86,78,82
543,WM-800_568,94,87,90.5
544,WM-800_569,87,81,84
545,WM-800_570,99,87,93
546,WM-800_571,84,78,81
547,WM-800_572,81,79,80
548,WM-800_573,94,77,85.5
549,WM-800_574,91,89,90
550,WM-800_575,88,95,91.5
551,WM-800_576,94,78,86
552,WM-800_577,82,78,80
553,WM-800_578,89,87,88
554,WM-800_579,85,75,80
555,WM-800_580,73,73,73
556,WM-800_581,75,80,77.5
557,WM-800_582,71,73,72
558,WM-800_583,78,74,76
559,WM-800_584,96,83,89.5
560,WM-800_585,76,73,74.5
561,WM-800_586,78,77,77.5
562,WM-800_587,79,72,75.5
563,WM-800_588,88,78,83
564,WM-800_589,93,73,83
565,WM-800_590,86,72,79
566,WM-800_591,85,67,76
567,WM-800_592,65,60,62.5
568,WM-800_593,85,69,77
569,WM-800_594,76,69,72.5
570,WM-800_595,95,78,86.5
571,WM-800_596,76,66,71
572,WM-800_597,73,67,70
573,WM-800_598,81,78,79.5
574,WM-800_599,104,100,102
575,WM-800_600,83,74,78.5
576,WM-800_601,86,73,79.5
577,WM-800_602,80,77,78.5
578,WM-800_603,84,75,79.5
579,WM-800_604,91,85,88
580,WM-800_605,80,77,78.5
581,WM-800_606,82,69,75.5
582,WM-800_607,87,81,84
583,WM-800_608,87,82,84.5
584,WM-800_609,79,74,76.5
585,WM-800_610,79,69,74
586,WM-800_611,84,72,78
587,WM-800_612,80,83,81.5
588,WM-800_613,84,81,82.5
589,WM-800_614,81,65,73
590,WM-800_615,76,70,73
591,WM-800_616,71,66,68.5
592,WM-800_617,79,80,79.5
593,WM-800_618,85,84,84.5
594,WM-800_619,77,74,75.5
595,WM-800_620,76,64,70
596,WM-800_621,79,74,76.5
597,WM-800_622,99,79,89
598,WM-800_623,106,107,106.5
599,WM-800_624,93,81,87
600,WM-800_625,78,81,79.5
601,WM-800_626,83,82,82.5
602,WM-800_627,114,110,112
603,WM-800_628,74,68,71
604,WM-800_629,89,74,81.5
605,WM-800_630,92,74,83
606,WM-800_631,60,58,59
607,WM-800_632,90,79,84.5
608,WM-800_633,87,74,80.5
609,WM-800_634,81,74,77.5
610,WM-800_635,102,93,97.5
611,WM-800_636,58,58,58
612,WM-800_637,74,63,68.5
613,WM-800_638,67,54,60.5
614,WM-800_639,84,64,74
615,WM-800_640,81,67,74
616,WM-800_641,77,59,68
617,WM-800_642,93,65,79
618,WM-800_643,89,58,73.5
619,WM-800_644,91,71,81
620,WM-800_645,89,73,81
621,WM-800_646,85,68,76.5
622,WM-800_647,81,70,75.5
623,WM-800_648,90,67,78.5
624,WM-800_649,78,74,76
625,WM-800_650,94,94,94
626,WM-800_651,97,90,93.5
627,WM-800_652,101,94,97.5
628,WM-800_653,74,74,74
629,WM-800_654,87,71,79
630,WM-800_655,76,72,74
631,WM-800_656,86,74,80
632,WM-800_657,106,93,99.5
633,WM-800_658,89,76,82.5
634,WM-800_659,87,72,79.5
635,WM-800_660,102,84,93
636,WM-800_661,84,71,77.5
637,WM-800_662,84,72,78
638,WM-800_663,55,56,55.5
639,WM-800_664,96,79,87.5
640,WM-800_665,84,73,78.5
641,WM-800_666,95,80,87.5
642,WM-800_667,85,75,80
643,WM-800_668,106,99,102.5
644,WM-800_669,101,86,93.5
645,WM-800_670,111,95,103
646,WM-800_671,99,82,90.5
647,WM-800_672,78,75,76.5
648,WM-800_673,78,77,77.5
649,WM-800_674,85,75,80
650,WM-800_675,95,83,89
651,WM-800_676,75,72,73.5
652,WM-800_677,82,63,72.5
653,WM-800_678,102,85,93.5
654,WM-800_679,76,66,71
655,WM-800_680,98,83,90.5
656,WM-800_681,105,88,96.5
657,WM-800_683,95,70,82.5
658,WM-800_684,90,80,85
659,WM-800_685,101,80,90.5
660,WM-800_686,67,64,65.5
661,WM-800_687,98,84,91
662,WM-800_688,105,83,94
663,WM-800_689,87,75,81
664,WM-800_690,106,85,95.5
665,WM-800_691,103,99,101
666,WM-800_692,94,82,88
667,WM-800_693,105,74,89.5
668,WM-800_694,62,58,60
669,WM-800_695,86,73,79.5
670,WM-800_696,99,100,99.5
671,WM-800_697,60,59,59.5
672,WM-800_698,82,72,77
673,WM-800_699,86,75,80.5
674,WM-800_700,87,82,84.5
675,WM-800_701,82,73,77.5
676,WM-800_702,111,94,102.5
677,WM-800_703,81,73,77
678,WM-800_704,69,72,70.5
679,WM-800_705,82,75,78.5
680,WM-800_706,89,84,86.5
681,WM-800_707,75,73,74
682,WM-800_708,86,74,80
683,WM-800_709,86,61,73.5
684,WM-800_710,89,64,76.5
685,WM-800_711,97,65,81
686,WM-800_712,87,76,81.5
687,WM-800_713,96,80,88
688,WM-800_714,75,73,74
689,WM-800_715,84,75,79.5
690,WM-800_716,81,70,75.5
691,WM-800_717,79,70,74.5
692,WM-800_718,75,79,77
693,WM-800_719,74,65,69.5
694,WM-800_720,80,62,71
695,WM-800_721,104,87,95.5
696,WM-800_722,103,74,88.5
697,WM-800_723,85,80,82.5
698,WM-800_724,95,83,89
699,WM-800_725,91,88,89.5
700,WM-800_726,104,84,94
701,WM-800_727,103,92,97.5
702,WM-800_728,95,87,91
703,WM-800_729,98,93,95.5
704,WM-800_730,66,72,69
705,WM-800_731,104,89,96.5
706,WM-800_732,85,73,79
707,WM-800_733,80,70,75
708,WM-800_734,116,102,109
709,WM-800_735,92,79,85.5
710,WM-800_736,59,57,58
711,WM-800_738,77,70,73.5
712,WM-800_739,88,74,81
713,WM-800_740,91,77,84
714,WM-800_741,89,75,82
715,WM-800_742,93,80,86.5
716,WM-800_743,95,79,87
717,WM-800_744,61,50,55.5
718,WM-800_745,89,65,77
719,WM-800_746,80,64,72
720,WM-800_748,77,62,69.5
721,WM-800_749,86,73,79.5
722,WM-800_750,65,64,64.5
723,WM-800_751,64,52,58
724,WM-800_752,68,66,67
725,WM-800_753,65,61,63
726,WM-800_754,75,69,72
727,WM-800_755,74,60,67
728,WM-800_756,81,69,75
729,WM-800_757,83,68,75.5
730,WM-800_758,73,64,68.5
731,WM-800_759,65,72,68.5
732,WM-800_760,83,74,78.5
733,WM-800_761,71,67,69
734,WM-800_762,82,74,78
735,WM-800_763,72,65,68.5
736,WM-800_764,76,69,72.5
737,WM-800_765,60,53,56.5
738,WM-800_766,76,73,74.5
739,WM-800_767,68,62,65
740,WM-800_768,89,74,81.5
741,WM-800_769,94,83,88.5
742,WM-800_770,88,80,84
743,WM-800_771,106,82,94
744,WM-800_772,104,82,93
745,WM-800_773,102,81,91.5
746,WM-800_774,96,85,90.5
747,WM-800_775,105,83,94
748,WM-800_776,96,78,87
749,WM-800_777,68,59,63.5
750,WM-800_778,94,80,87
751,WM-800_779,65,62,63.5
752,WM-800_780,61,66,63.5
753,WM-800_781,59,64,61.5
754,WM-800_782,70,67,68.5
755,WM-800_783,72,75,73.5
756,WM-800_784,69,78,73.5
757,WM-800_785,69,70,69.5
758,WM-800_786,80,83,81.5
759,WM-800_787,74,67,70.5
760,WM-800_788,65,60,62.5
761,WM-800_789,77,63,70
762,WM-800_790,81,79,80
763,WM-800_791,70,68,69
764,WM-800_792,70,57,63.5
765,WM-800_793,88,66,77
766,WM-800_794,81,73,77
767,WM-800_795,72,66,69
768,WM-800_796,62,62,62
769,WM-800_797,69,59,64
770,WM-800_798,71,61,66
771,WM-800_799,89,78,83.5
772,WM-800_800,57,61,59
773,WM-800_801,68,75,71.5
774,WM-800_802,80,78,79
775,WM-800_803,76,67,71.5
776,WM-800_804,89,79,84
777,WM-800_805,74,66,70
778,WM-800_806,79,75,77
779,WM-800_807,77,81,79
780,WM-800_808,96,86,91
781,WM-800_809,77,76,76.5
782,WM-800_810,75,70,72.5
783,WM-800_811,81,76,78.5
784,WM-800_812,82,71,76.5
785,WM-800_813,87,79,83
786,WM-800_814,86,71,78.5
787,WM-800_815,73,65,69
788,WM-800_816,85,70,77.5
789,WM-800_817,117,99,108
790,WM-800_818,84,80,82
791,WM-800_819,84,68,76
792,WM-800_820,103,93,98
793,WM-800_821,86,76,81
794,WM-800_822,97,96,96.5
795,WM-800_823,107,87,97
796,WM-800_824,87,77,82
797,WM-800_825,120,104,112
798,WM-800_826,80,71,75.5
799,WM-800_827,110,96,103
800,WM-800_828,73,63,68
801,WM-800_829,92,81,86.5
802,WM-800_830,99,89,94
803,WM-800_831,88,93,90.5
804,WM-800_832,69,72,70.5
805,WM-800_833,67,81,74
806,WM-800_834,71,67,69
807,WM-800_835,69,60,64.5
808,WM-800_836,78,60,69
809,WM-800_837,70,69,69.5
810,WM-800_838,73,78,75.5
811,WM-800_839,69,60,64.5
812,WM-800_840,64,60,62
813,WM-800_841,60,59,59.5
814,WM-800_842,62,54,58
815,WM-800_843,71,64,67.5
816,WM-800_844,60,56,58
817,WM-800_845,61,57,59
818,WM-800_846,61,64,62.5
819,WM-800_847,83,71,77
820,WM-800_848,69,63,66
821,WM-800_849,70,63,66.5
822,WM-800_850,79,76,77.5
823,WM-800_851,90,80,85
824,WM-800_852,87,79,83
825,WM-800_853,88,90,89
826,WM-800_854,80,76,78
827,WM-800_855,85,80,82.5
828,WM-800_856,89,76,82.5
829,WM-800_857,83,60,71.5
830,WM-800_858,82,72,77
831,WM-800_859,95,78,86.5
832,WM-800_860,66,64,65
833,WM-800_861,89,69,79
834,WM-800_862,88,74,81
835,WM-800_863,103,84,93.5
836,WM-800_864,105,88,96.5
837,WM-800_865,84,80,82
838,WM-800_866,84,79,81.5
839,WM-800_867,91,88,89.5
840,WM-800_868,82,75,78.5
841,WM-800_869,90,85,87.5
842,WM-800_870,67,67,67
843,WM-800_871,85,80,82.5
844,WM-800_872,69,68,68.5
845,WM-800_873,103,98,100.5
846,WM-800_874,81,78,79.5
847,WM-800_875,84,85,84.5
848,WM-800_876,88,80,84
849,WM-800_877,100,91,95.5
850,WM-800_878,85,80,82.5
851,WM-800_879,93,86,89.5
852,WM-800_880,99,90,94.5
853,WM-800_881,84,85,84.5
854,WM-800_882,83,85,84
855,WM-800_883,97,102,99.5
856,WM-800_884,106,99,102.5
857,WM-800_887,76,67,71.5
858,WM-800_888,73,59,66
859,WM-800_889,83,90,86.5
860,WM-800_890,77,73,75
861,WM-800_891,75,79,77
862,WM-800_892,91,85,88
863,WM-800_893,96,95,95.5
864,WM-800_894,78,80,79
865,WM-800_895,80,74,77
866,WM-800_896,67,80,73.5
867,WM-800_897,80,74,77
868,WM-800_898,75,53,64
869,WM-800_899,82,86,84
870,WM-800_900,79,72,75.5
871,WM-800_901,74,74,74
