id,progeny,pop,FT_fi_l,FT_ri_l,FT_fi_s,FT_ri_s,GI_fi_s,GS_ri_s,Matruity_fi_s,Matruity_ri_s,GY_fi_s,GY_ri_s,SS_fi_s,SS_ri_s
134,MAGIC147,MAGIC,55,55,39,37,2,1,74,69,1161.72,395.17,14.25,16.25
135,MAGIC148,MAGIC,62,69,42,40,3,2,78,76,1476.12,591.82,12.7,16.65
136,MAGIC149,MAGIC,54,64,47,47,2,2,95,120,1921.36,532.72,18.75,17.3
137,MAGIC150,MAGIC,64,62,46,46,3,2,95,99,1170.72,485.48,15.3,17.75
138,MAGIC151,MAGIC,50,56,40,38,2,1,103,99,877.62,111.94,23.55,22.1
139,MAGIC152,MAGIC,90,77,51,49,3,2,99,120,1336.49,234.07,17,15.7
140,MAGIC153,MAGIC,54,56,45,43,3,2,95,92,1279.08,215.12,12.35,15.79
141,MAGIC154,MAGIC,43,44,37,35,1,2,86,80,1545.5,524.92,15.7,16.5
142,MAGIC155,MAGIC,48,44,37,35,2,2,78,65,1144.76,443.44,11.65,12.65
143,MAGIC157,MAGIC,59,84,53,53,3,2,99,120,1756.08,86.89,15.68,17.57
144,MAGIC158,MAGIC,64,NA,48,44,2,2,99,117,915.81,187.39,15.3,21.1
145,MAGIC160,MAGIC,69,81,39,36,3,2,96,91,1151.84,94,22.75,18.51
146,MAGIC162,MAGIC,47,47,38,37,2,2,78,65,1918.94,437.99,13.2,16.2
147,MAGIC163,MAGIC,47,48,39,38,2,2,74,86,792.42,259.9,12.95,12.5
148,MAGIC166,MAGIC,77,84,44,41,2,2,109,92,1228.46,342,13.25,17.15
149,MAGIC167,MAGIC,NA,78,44,41,2,2,106,91,240.72,341.8,12.1,20.75
150,MAGIC168,MAGIC,77,78,42,39,4,2,76,74,903.39,584.38,NA,16.4
151,MAGIC169,MAGIC,61,68,44,42,4,2,98,85,878.34,489.86,10.7,15.2
152,MAGIC170,MAGIC,70,77,43,42,3,1,82,74,1141.37,910.04,15.8,17.6
153,MAGIC171,MAGIC,48,48,40,46,3,2,85,99,615.53,212.34,13.35,13
